"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"382647","Male","One or two times  ","Yes","Strongly agree","Strongly agree","Sometimes",NA,"Some Lessons","Strongly disagree","Strongly agree","Agree","Disagree",351.5423,384.1134,395.4122
"382648","Male","None  ","Yes",NA,"Strongly agree",NA,"Know it well,  understand the concept","Every Lesson","Agree","Strongly agree","Agree","Disagree",502.2667,492.376,509.2689
"382649","Male","None  ","No",NA,"Disagree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Disagree",630.0125,623.0931,632.3573
"382650","Female","None  ","Yes","Strongly agree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,574.4742,539.7377,540.6005
"382651","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Strongly disagree","Agree",537.7084,521.2302,578.5528
"382652","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,621.9115,488.9277,567.8292
"382653","Female","None  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Disagree","Agree","Disagree","Strongly agree",478.587,471.8242,488.288
"382654","Female","None  ",NA,"Disagree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,406.8469,394.1406,441.1041
"382655","Male","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it often","Every Lesson","Agree","Agree","Disagree","Agree",572.8384,550.6774,536.1246
"382656","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Most Lessons","Strongly disagree","Disagree","Agree","Disagree",464.4882,412.1815,438.6796
"382657","Female","One or two times  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,529.8411,529.9677,522.8833
"382658","Female","None  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,609.3706,599.0726,601.492
"382659","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Every Lesson","Disagree","Strongly agree","Strongly disagree","Agree",585.8467,592.1621,578.8325
"382660","Female","None  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,444.2359,524.6458,474.3939
"382661","Female","Three or four times  ","Yes","Agree","Agree","Sometimes",NA,"Every Lesson","Disagree","Strongly agree","Disagree","Strongly agree",591.3772,606.142,562.7005
"382662","Male","Three or four times  ","Yes","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",607.2675,550.0359,485.677
"382663","Female","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Some Lessons","Strongly agree","Agree","Disagree","Agree",499.2289,557.6891,488.3812
"382664","Female","None  ","No","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,443.3011,538.9434,450.1492
"382665","Male","One or two times  ","Yes","Strongly agree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,540.7462,553.3238,530.1567
"382666","Female","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Agree",544.4072,581.5184,567.6427
"382667","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Disagree","Disagree",514.3402,594.3068,550.2051
"382668","Male","None  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Most Lessons","Strongly agree","Strongly agree","Disagree","Strongly agree",332.4583,321.5617,298.5267
"382669","Female","One or two times  ","No","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,518.2349,624.4906,509.1757
"382670","Male","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Most Lessons",NA,"Agree","Strongly disagree","Strongly agree",538.721,591.737,541.6263
"382671","Female","One or two times  ","Yes","Agree","Agree","Sometimes",NA,"Never or Hardly Ever","Agree","Strongly agree","Disagree","Agree",475.627,531.4768,402.6856
"382672","Female","None  ","Yes",NA,"Agree",NA,"Heard of it often","Never or Hardly Ever","Agree","Strongly agree","Agree","Agree",510.6013,605.6654,472.5289
"382673","Male","Five or more times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Disagree","Agree",360.1885,295.6589,313.26
"382674","Female","Three or four times  ","Yes",NA,"Agree",NA,"Heard of it often","Some Lessons","Disagree","Agree","Agree","Agree",398.2007,498.9896,410.9847
"382675","Female","None  ","No",NA,"Strongly agree",NA,"Know it well,  understand the concept","Most Lessons","Disagree","Disagree","Disagree","Strongly agree",575.8763,555.6239,581.63
"382676","Female","None  ","Yes","Disagree","Agree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Disagree","Disagree",506.473,596.6897,511.6934
"382677","Female","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,573.4616,579.2149,548.9929
"382678","Male","Three or four times  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,394.4618,403.1195,420.4961
"382679","Female","One or two times  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Never or Hardly Ever","Disagree","Disagree","Agree","Agree",364.6284,407.8822,404.4573
"382680","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Disagree","Disagree","Agree",329.732,402.0837,351.0257
"382681","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,576.5773,602.9643,618.6498
"382682","Male","One or two times  ","Yes","Agree","Strongly disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Strongly agree",684.7718,637.7687,621.727
"382683","Female","Five or more times  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Some Lessons","Disagree","Agree","Disagree","Agree",497.2036,566.7442,573.2376
"382684","Male","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,690.3801,646.3495,639.1645
"382685","Female","One or two times  ","Yes","Agree",NA,"Sometimes",NA,NA,NA,NA,NA,NA,492.4521,563.2492,554.3081
"382686","Female","None  ","Yes",NA,"Agree",NA,"Heard of it often","Some Lessons","Agree","Strongly agree","Disagree","Disagree",453.5831,490.2521,497.0533
"382687","Male","One or two times  ","Yes",NA,"Strongly agree",NA,"Know it well,  understand the concept","Some Lessons","Agree","Strongly agree","Disagree","Strongly agree",570.8132,539.6908,549.3659
"382688","Male","Three or four times  ","Yes","Strongly agree","Strongly agree","Sometimes",NA,"Every Lesson","Agree","Agree","Strongly disagree","Strongly disagree",348.3487,388.9251,375.3637
"382689","Female","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,617.5495,654.6743,591.3279
"382690","Male","None  ","Yes","Strongly agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,533.1126,626.1405,618.8363
"382691","Female","One or two times  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Agree","Strongly agree","Disagree","Agree",579.8489,595.7365,558.2245
"382692","Female","One or two times  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",624.0925,655.3892,663.4092
"382693","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,574.0069,605.3701,650.6341
"382694","Male","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Never or Hardly Ever","Strongly disagree","Strongly agree","Agree","Agree",664.7531,594.7844,622.846
"382695","Male","None  ","No","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Strongly agree",662.7278,656.7748,608.1126
"382696","Male","Five or more times  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Agree","Agree",716.7861,675.2195,746.4938
"382697","Male","One or two times  ","Yes","Agree",NA,"Often","Heard of it once or twice",NA,NA,NA,NA,NA,584.4446,603.0444,677.0235
"382698","Female","None  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Agree","Disagree","Disagree","Agree",634.2966,645.1426,688.2134
"382699","Male","One or two times  ","No","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Agree","Strongly agree",605.5538,599.6763,648.6759
"382700","Female","None  ","Yes",NA,"Strongly agree",NA,"Know it well,  understand the concept","Some Lessons","Agree","Agree","Strongly disagree","Agree",520.4938,573.6547,533.1406
"382701","Male","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Agree","Agree",427.0213,471.5254,493.0436
"382702","Female","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Some Lessons","Strongly disagree","Strongly agree","Disagree","Agree",677.8392,725.3679,746.4938
"382703","Female","None  ","No",NA,"Strongly disagree",NA,"Never heard of it","Most Lessons","Agree","Agree","Agree","Agree",630.4019,692.0069,643.8269
"382704","Male","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,643.0986,630.2304,665.6471
"382705","Female","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Strongly disagree","Agree",533.0347,572.8604,595.3376
"382706","Male","None  ","Yes","Strongly agree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,628.9998,564.7917,611.4696
"382707","Female","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it often","Some Lessons","Strongly agree","Agree","Strongly disagree","Strongly agree",595.7392,680.0923,646.3446
"382708","Female","One or two times  ","Yes","Disagree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,472.1218,511.9368,546.1954
"382709","Male","Five or more times  ","No","Strongly agree","Strongly disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Strongly agree",688.6665,636.1648,731.7605
"382710","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Some Lessons","Agree","Agree","Strongly disagree","Strongly agree",562.0112,505.4477,600.2797
"382711","Male","One or two times  ","Yes","Strongly agree","Strongly disagree","Never or rarely",NA,"Some Lessons","Disagree","Disagree","Disagree","Agree",711.4114,643.9436,705.9306
"382712","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,620.9768,548.5122,568.5752
"382713","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Disagree","Agree",584.133,532.2712,544.3305
"382714","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,708.4515,628.7004,703.7859
"382715","Male","None  ","No","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,490.9721,501.1974,515.1436
"382716","Female","One or two times  ","Yes","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,399.5248,378.9693,382.0776
"382717","Female","None  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Disagree","Agree",430.2929,518.609,460.5931
"382718","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Strongly agree","Disagree","Strongly agree",478.5091,466.1524,493.0436
"382719","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,592.3119,528.3032,557.2921
"382720","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Every Lesson","Agree","Agree","Disagree","Agree",589.5077,542.8986,547.5009
"382721","Male","None  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Every Lesson","Strongly agree","Strongly agree","Strongly disagree","Agree",515.1192,521.4866,510.7609
"382722","Female","None  ","No","Agree","Strongly agree","Sometimes",NA,"Most Lessons","Strongly agree","Agree","Disagree","Agree",431.6171,462.6896,395.1324
"382723","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Strongly agree","Strongly agree","Disagree","Agree",472.4334,543.1391,490.2462
"382724","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Strongly agree",557.6492,566.8767,562.0477
"382725","Female","One or two times  ","No","Agree","Agree","Never or rarely",NA,"Most Lessons","Strongly agree","Strongly agree","Disagree","Strongly agree",437.3033,456.6528,441.0108
"382726","Male","None  ","Yes","Strongly agree","Disagree","Always or almost always",NA,"Every Lesson","Strongly agree","Strongly agree","Strongly disagree","Strongly agree",476.9512,416.1912,456.3969
"382727","Female","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,604.1517,669.6868,639.5375
"382728","Female","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it once or twice","Most Lessons","Disagree","Strongly agree","Disagree","Strongly agree",600.7244,564.9173,543.398
"382729","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,578.291,560.3008,510.9474
"382730","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,419.1541,426.0552,421.2421
"382731","Female","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Strongly agree",635.8545,553.0026,548.3402
"382732","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Every Lesson","Agree","Strongly agree","Disagree","Agree",423.8277,471.766,453.8791
"382733","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Every Lesson","Agree","Agree","Disagree","Strongly agree",545.4198,554.5118,489.0339
"382734","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",371.0157,406.0553,400.0746
"382735","Female","Three or four times  ","Yes","Agree","Disagree","Sometimes",NA,"Most Lessons","Agree","Strongly agree","Disagree","Agree",567.5417,564.0436,546.2887
"382736","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Never or Hardly Ever","Strongly agree","Strongly agree","Disagree","Strongly agree",375.6894,356.8473,395.7852
"382737","Male","Three or four times  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Never or Hardly Ever","Disagree","Agree","Disagree","Disagree",433.2528,481.0686,479.7091
"382738","Male","One or two times  ","No",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Disagree","Agree",524.6222,551.1586,582.5625
"382739","Female","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,481.0796,535.4484,468.8922
"382740","Male","None  ","Yes","Strongly agree","Strongly agree","Sometimes",NA,"Most Lessons","Agree","Disagree","Strongly disagree","Strongly agree",527.5822,491.8147,522.8833
"382741","Female","Five or more times  ","Yes","Strongly agree","Agree","Often",NA,"Every Lesson","Agree","Strongly agree","Disagree","Agree",408.7942,505.344,405.7628
"382742","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,579.0699,623.458,583.6815
"382743","Male","Five or more times  ","No",NA,"Disagree",NA,"Never heard of it","Never or Hardly Ever","Strongly disagree","Strongly agree","Disagree","Strongly agree",452.8042,375.5326,433.3644
"382744","Female","One or two times  ","Yes","Strongly agree","Disagree","Often",NA,"Every Lesson","Agree","Agree","Disagree","Agree",471.4208,483.1034,444.5543
"382745","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Agree",506.2393,537.8313,521.0183
"382746","Female","Three or four times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,541.6809,609.9547,561.3018
"382747","Male","Three or four times  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Never or Hardly Ever","Agree","Agree","Disagree","Agree",699.8832,622.5317,618.9295
"382748","Male","Three or four times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,555.546,505.9289,583.2152
"382749","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,420.1667,479.7673,431.4062
"382750","Male","None  ","Yes","Strongly agree",NA,"Often","Know it well,  understand the concept",NA,NA,NA,NA,NA,425.1519,377.6979,400.1678
"382751","Male","One or two times  ","Yes","Agree","Agree","Often",NA,"Some Lessons","Agree","Agree","Agree","Strongly agree",567.1522,487.003,545.263
"382752","Male","One or two times  ","Yes",NA,"Agree",NA,"Heard of it often","Some Lessons","Strongly agree","Strongly agree","Disagree","Strongly agree",553.9882,591.8172,604.0097
"382753","Male","One or two times  ","Yes","Strongly agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,469.1619,471.5254,461.9918
"382754","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,504.1362,497.4009,512.4394
"382755","Male","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Some Lessons","Agree","Strongly agree","Strongly disagree","Strongly agree",631.9598,553.3238,558.9705
"382756","Female","Three or four times  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Disagree","Agree",408.4047,443.3879,387.0198
"382757","Female","One or two times  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Strongly agree","Strongly disagree","Strongly agree",517.5339,540.8497,494.1626
"382758","Male","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Every Lesson","Agree","Strongly agree","Disagree","Strongly agree",445.6379,461.3407,479.0563
"382759","Female","Five or more times  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Never or Hardly Ever","Agree","Agree","Disagree","Strongly agree",480.067,487.0749,489.5934
"382760","Female","Five or more times  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Disagree","Agree",508.7319,523.0572,514.4909
"382761","Male","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,446.4948,451.4768,450.8952
"382762","Male","One or two times  ","Yes",NA,"Agree",NA,NA,"Some Lessons","Agree","Agree","Disagree","Agree",468.305,487.4842,537.5233
"382763","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,666.6225,699.2779,659.3995
"382764","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,597.9202,641.886,613.4278
"382765","Male","None  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",593.7919,576.8208,617.997
"382766","Female","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Most Lessons","Disagree","Agree","Strongly disagree","Agree",510.4456,490.2521,518.5006
"382767","Male","One or two times  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Every Lesson","Disagree","Agree","Strongly agree","Strongly agree",611.3959,624.6168,645.9717
"382768","Female","Five or more times  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Never or Hardly Ever","Disagree","Agree","Agree","Strongly agree",448.3642,495.7329,425.0653
"382769","Male","None  ",NA,"Agree",NA,"Often","Know it well,  understand the concept",NA,NA,NA,NA,NA,537.6305,510.7406,538.4558
"382770","Male","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Some Lessons",NA,"Strongly agree","Strongly disagree","Strongly agree",395.6302,385.6371,424.0395
"382771","Female","None  ","No","Agree","Strongly agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",535.06,561.6606,600.2797
"382772","Female","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it often","Never or Hardly Ever","Disagree","Agree","Strongly agree","Agree",333.6267,414.7927,373.0325
"382773","Female","None  ","Yes",NA,"Agree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Agree",466.8251,493.6677,515.4233
"382774","Female","None  ","Yes","Strongly agree","Strongly agree","Never or rarely",NA,"Never or Hardly Ever","Disagree","Agree","Disagree","Agree",396.0196,371.6616,399.9814
"382775","Female","None  ","No","Agree","Agree","Never or rarely",NA,"Most Lessons","Disagree","Agree","Disagree","Disagree",404.7437,442.5141,405.483
"382776","Female","None  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Every Lesson","Agree","Agree","Strongly disagree","Agree",565.2049,553.7175,536.0313
"382777","Male","Three or four times  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,482.4038,508.6555,529.4107
"382778","Female","None  ","No",NA,NA,NA,"Heard of it a few times","Never or Hardly Ever","Agree","Agree","Disagree","Agree",419.1541,457.1294,506.0985
"382779","Male","None  ","Yes","Disagree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,408.5605,416.4318,420.3096
"382780","Male","None  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Strongly disagree","Agree",478.587,482.5923,516.2626
"382781","Male","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it often","Never or Hardly Ever","Disagree","Agree","Disagree","Strongly agree",392.047,363.5034,439.8918
"382782","Female","None  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Agree","Disagree","Agree",478.1196,518.8473,524.1887
"382783","Female","Five or more times  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Disagree","Agree",378.883,371.6616,393.4539
"382784","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,501.7215,610.4313,590.9549
"382785","Male","One or two times  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Every Lesson","Strongly agree","Agree","Disagree","Agree",467.6819,463.2654,506.285
"382786","Female","Five or more times  ","Yes","Strongly agree","Agree","Sometimes",NA,"Some Lessons","Agree","Strongly agree","Agree","Agree",447.7411,469.6001,452.3872
"382787","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it often","Some Lessons","Agree","Agree","Disagree","Agree",560.2197,587.158,584.4275
"382788","Female","None  ","Yes","Agree","Agree","Often",NA,"Some Lessons","Disagree","Agree","Agree","Agree",453.0379,471.9036,512.7191
"382789","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,501.0204,458.4003,516.0761
"382790","Female","None  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Some Lessons","Strongly disagree","Agree","Strongly disagree","Strongly agree",490.8942,583.9013,602.7975
"382791","Male","One or two times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Some Lessons","Agree","Agree","Disagree","Agree",513.7171,512.6652,561.1153
"382792","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,512.0813,508.3624,532.1149
"382793","Male","Three or four times  ","No",NA,"Strongly agree",NA,"Heard of it often","Some Lessons","Agree","Agree","Disagree","Disagree",472.1997,445.8632,486.5162
"382794","Female","None  ","Yes","Strongly agree","Agree","Sometimes",NA,"Most Lessons","Agree","Agree","Disagree","Agree",473.7576,493.4294,529.2242
"382795","Male","None  ","No","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,445.0148,370.4804,462.9243
"382796","Male","None  ","No","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,526.8032,479.5449,477.8441
"382797","Male","One or two times  ","No","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",458.6462,465.1099,504.6065
"382798","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,423.2045,443.4574,428.9817
"382799","Female","None  ","Yes","Agree","Disagree","Sometimes",NA,"Most Lessons","Agree","Agree","Disagree","Agree",557.1818,553.0026,547.7807
"382800","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,425.4635,408.1718,491.9247
"382801","Female","None  ","No",NA,"Agree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Agree","Disagree","Agree",511.0687,550.858,562.9802
"382802","Female","Three or four times  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Agree",476.0944,538.6256,504.8862
"382803","Male","None  ","Yes","Disagree","Agree","Never or rarely",NA,"Some Lessons","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree",381.2977,444.4999,447.3517
"382804","Female","None  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Agree","Agree","Disagree","Disagree",490.8942,512.4928,490.9922
"382805","Female","One or two times  ","Yes","Strongly agree","Agree","Sometimes",NA,"Some Lessons","Agree","Agree","Disagree","Agree",555.6239,584.7751,545.9157
"382806","Male","Five or more times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,412.7668,345.5399,362.4953
"382807","Male","Five or more times  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Strongly agree",628.8441,598.4734,671.1488
"382808","Male","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,604.6191,521.246,605.8747
"382809","Female","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Disagree","Strongly agree","Agree","Strongly agree",397.6554,484.9303,456.6766
"382810","Male","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,494.0879,497.9896,550.2051
"382811","Female","One or two times  ","No","Strongly agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,504.993,538.9434,555.5203
"382812","Female","None  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Never or Hardly Ever","Agree","Strongly agree","Strongly agree","Strongly agree",322.3321,375.8715,374.9907
"382813","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,546.5104,601.3604,614.3603
"382814","Male","None  ","No","Strongly agree","Strongly disagree","Always or almost always",NA,"Every Lesson","Agree","Strongly agree","Agree","Agree",497.9047,356.7671,415.3674
"382815","Male","Five or more times  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Strongly agree","Agree","Disagree","Strongly agree",485.7532,520.3639,527.6389
"382816","Female","None  ","No","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,543.9399,637.9938,635.0615
"382817","Female","One or two times  ","No","Strongly agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",694.2748,624.4906,632.2641
"382818","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Some Lessons","Disagree","Strongly disagree","Disagree","Agree",568.1648,622.7431,564.752
"382819","Male","None  ","Yes",NA,"Strongly disagree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",656.9637,565.1124,611.6561
"382820","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,388.9313,373.1268,416.5796
"382821","Female","None  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,550.6387,566.4265,581.63
"382822","Female","None  ","No",NA,"Strongly disagree",NA,"Heard of it often","Every Lesson","Disagree","Strongly agree","Strongly agree","Disagree",471.4208,465.6285,435.0429
"382823","Female","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it often","Every Lesson","Agree","Agree","Disagree","Strongly agree",446.4948,496.5272,477.8441
"382824","Male","Five or more times  ","Yes",NA,"Agree",NA,"Never heard of it","Every Lesson","Agree","Strongly agree","Agree","Strongly agree",441.5096,470.7235,453.3197
