"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"381742","Male","Five or more times  ","Yes",NA,"Disagree",NA,"Heard of it often","Every Lesson","Agree","Agree","Disagree","Agree",510.3677,598.1526,567.3629
"381743","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,435.5897,426.6165,424.0395
"381744","Male","Five or more times  ","Yes","Disagree","Agree","Sometimes",NA,"Most Lessons","Strongly agree","Strongly agree","Strongly agree","Agree",462.3072,442.896,435.2294
"381745","Female","None  ","No",NA,"Strongly disagree",NA,"Never heard of it","Never or Hardly Ever","Strongly disagree","Disagree","Agree","Strongly agree",689.5233,682.4752,667.4189
"381746","Female","None  ","No","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,548.224,574.449,554.0283
"381747","Female","One or two times  ","No","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,544.7188,536.3221,562.3275
"381748","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Never or Hardly Ever","Disagree","Agree","Disagree","Agree",592.6235,662.6174,647.2771
"381749","Female","Three or four times  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Never or Hardly Ever","Strongly disagree","Strongly disagree","Agree","Disagree",480.067,513.2871,478.7766
"381750","Male","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,582.8088,513.2266,517.2883
"381751","Female","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,494.5552,587.8729,492.1112
"381752","Male","None  ","Yes","Agree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,629.7788,601.6811,627.3219
"381753","Female","None  ","Yes","Disagree","Strongly disagree","Never or rarely",NA,"Some Lessons","Strongly agree","Strongly agree","Strongly disagree","Strongly agree",481.4691,476.1929,433.3644
"381754","Male","Five or more times  ","No",NA,"Agree",NA,"Heard of it a few times","Most Lessons","Disagree","Agree","Disagree","Agree",477.8081,563.5086,544.517
"381755","Female","Three or four times  ","Yes","Agree",NA,"Always or almost always","Heard of it often",NA,NA,NA,NA,NA,469.8629,528.379,513.5584
"381756","Male","Five or more times  ","Yes",NA,"Disagree",NA,"Never heard of it","Some Lessons","Agree","Disagree","Disagree","Strongly agree",589.8193,610.262,653.2451
"381757","Female","One or two times  ","Yes","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,438.0044,477.7815,477.1913
"381758","Male","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,638.5808,599.8367,604.3827
"381759","Male","One or two times  ","Yes",NA,"Strongly disagree",NA,"Know it well,  understand the concept","Some Lessons","Agree","Disagree","Disagree","Agree",622.8462,605.3701,564.9385
"381760","Female","None  ",NA,NA,NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,593.7919,579.4532,632.9168
"381761","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,670.9846,685.4141,689.0526
"381762","Male","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,566.4512,574.8962,584.1477
"381763","Male","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,558.7397,580.59,563.633
"381764","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Disagree","Strongly agree",583.8215,681.1249,627.3219
"381765","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Strongly agree","Agree","Disagree","Agree",604.7749,642.0992,595.8038
"381766","Female","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Agree",649.0964,685.0964,642.2417
"381767","Male","One or two times  ","Yes","Agree","Agree","Often",NA,"Most Lessons","Disagree","Strongly agree","Strongly disagree","Agree",450.9347,451.3966,440.8243
"381768","Male","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,NA,"Disagree","Agree","Disagree","Agree",647.1491,639.9339,602.5177
"381769","Female","None  ","Yes",NA,"Agree",NA,"Never heard of it","Every Lesson","Disagree","Agree","Disagree","Agree",584.3667,641.9654,583.495
"381770","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,663.0394,664.7942,676.5573
"381771","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,667.8688,668.0188,650.5408
"381772","Female","One or two times  ","Yes","Agree","Strongly agree","Sometimes",NA,"Some Lessons","Disagree","Agree","Disagree","Agree",605.9433,714.1682,696.326
"381773","Female","None  ","Yes",NA,"Agree",NA,"Never heard of it","Never or Hardly Ever","Agree","Disagree","Disagree","Strongly agree",525.8685,581.8361,574.1701
"381774","Male","None  ","Yes","Disagree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Agree","Strongly agree",596.2066,508.1743,543.5845
"381775","Female","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,448.2863,535.7661,538.7355
"381776","Female","One or two times  ","Yes",NA,"Strongly disagree",NA,"Heard of it once or twice","Some Lessons","Disagree","Agree","Agree","Agree",568.788,637.1995,570.4401
"381777","Female","Three or four times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,549.2366,555.6239,526.6132
"381778","Male","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,542.382,590.2133,557.1056
"381779","Female","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,523.7654,505.1852,478.9631
"381780","Male","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Most Lessons","Strongly disagree","Agree","Agree","Agree",687.6538,646.3495,634.2223
"381781","Male","One or two times  ","Yes","Strongly agree","Strongly agree","Never or rarely",NA,"Some Lessons","Disagree","Strongly agree","Strongly disagree","Agree",544.1735,485.0783,488.4744
